eventid,iyear,imonth,iday,extended,resolution,country_txt,provstate,city,specificity,vicinity,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,targsubtype3_txt,corp3,target3,natlty3_txt,gname,gsubname,gname2,gsubname2,motive,guncertain1,guncertain2,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,compclaim,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weapsubtype2_txt,weaptype3_txt,weapsubtype3_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,ishostkid,nhostkid,nhostkidus,nhours,ndays,ransom,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
200002250001,2000,2,25,0,,United Kingdom,Northern Ireland,Ballykelly,1.0,0,"02/25/2000: The Continuity IRA (CIRA) bombed the Shackleton Barracks, in Ballykelly, Londonderry, Northern Ireland. No one was killed or injured in the attack however there was minor property damage.",1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Shackleton Military Barracks,"Shackleton Barracks, in Ballykelly, Londonderry, Northern Ireland",Northern Ireland,,,,,,,,,,,Continuity Irish Republican Army (CIRA),,,,Unknown,1.0,,0,,2.0,1,10.0,Unknown,,,,-9.0,Explosives,Unknown Explosive Type,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,,,,,,,,The Continuity IRA (CIRA) claimed responsibility but police believed another faction may have been behind it because an unfamiliar password was used.,"“IRA Rebels Target British Troops On UK Mainland,” Sunday Times, February 27, 2000.","“Two Held Over Blast at Ulster Barracks,” Press Association, February 26, 2000.","“Ulster: Device Explodes At Army Barracks; No Casualties,” Press Association, February 25, 2000.",CETIS,0,0,1,1,
200002250004,2000,2,25,0,,United Kingdom,Northern Ireland,Portadown,1.0,0,"02/25/2000: A man was shot and injured by a loyalist gunman as he exited his car in the driveway of his home in Portadown, Northern Ireland. No one else was injured and there was no property damage.",1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilian,"Civilian in Portadown, Northern Ireland",Northern Ireland,,,,,,,,,,,Unknown,,,,Unknown,0.0,,0,1.0,0.0,0,,,,,,,Firearms,Unknown Gun Type,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,,,,,,,,,,"“Appeal for Calm After Portadown Shooting,” Press Association, February 26, 2000.","“UK: Man Shot in Portadown Loyalist Housing Estate,” Press Association, February 25, 2000.",,CETIS,-9,-9,1,1,
200002250007,2000,2,25,0,,United States,California,Fremont,1.0,0,"02/25/2000: The Animal Liberation Front (ALF) claimed responsibility for placing four incendiary devices into several B&K Universal trucks, a firm which breeds laboratory animals for research, located in Fremont, California in the United States. The trucks were destroyed by the firebombs. There were no casualties in the incident, and the amount of monetary damage is unknown.",1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,,,B&K Universal,"a firm, which breeds laboratory animals for research in Fremont, CA",United States,,,,,,,,,,,Animal Liberation Front (ALF),,,,"ALF claimed the firm ""breeds animals for a fate of torture and death in the vivisection industry.""",0.0,,0,-99.0,-99.0,1,1.0,Letter,,,,,Incendiary,Arson/Fire,,,,,four incendiary devices,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,,,,0.0,,,,,"James W. Sweeney, ""Animal Activists Blamed in Break-in Farm Bureau Office Ransacked,"" The Press Democrat, March 18, 2000.","Pamela J. Podger, ""Animal-Rights Cell Says It Attacked 6 Local Firms,"" San Francisco Chronicle, March 17, 2000.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America,"" Praeger Security International, 2005.",Eco Project 2010,0,1,0,1,
200003010004,2000,3,1,0,,United States,Pennsylvania,Wilkinsburg,1.0,0,"03/01/2000: In the first of four consecutive attacks in Wilkinsburg, Pennsylvania, United States, Ronald Taylor shot and killed maintenance worker John Kroll with a .22 caliber revolver in his apartment building around 11:15 a.m. Taylor, an anti-white extremist, had started a fire in his apartment just prior to the shooting. He proceeded to carry out a series of attacks targeting white people at nearby locations before surrendering to police. Taylor had a history of anti-white, anti-Semitic, and anti-LGBT beliefs, and reportedly suffered from mental illness. He confessed to the crimes, his insanity defense was not successsful, and he was sentenced to death in January 2002.",1,1,1,1,2.0,Other Crime Type,1.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,71.0,Race/Ethnicity Identified,Not Applicable,"John Kroll, 55",United States,,,,,,,,,,,Anti-White extremists,,,,"The specific motive is unclear, but Taylor targeted white people and reportedly told black people he encountered that he did not intend to hurt them.",0.0,,1,1.0,1.0,0,,,,,,,Firearms,Handgun,Incendiary,Arson/Fire,,,A .22-caliber revolver legally purchased by Taylor's grandfather at a Pittsburgh gun shop in 1982.,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,,,,,,,,,"Although there is evidence that this series of attacks was racially motivated, this attack was preceded by a dispute between Taylor and a different maintenance worker. Taylor told police that the workers were taking too long to repair his door.","Michael A. Fuoco, ""Residents remember the deadly rampage,"" Pittsburgh Post-Gazette, February 25, 2001.","Todd Spangler, ""Pa. gunman kills 2, surrenders,"" Associated Press Online, March 2, 2000.","Todd Spangler, ""Western PA man charged with hate crime in shooting rampage. Police said they found racist writings by Ronald Taylor, who is also charged with homicide. Three white men died,"" The Philadelphia Inquirer (Associated Press), March 4, 2000.",UMD Miscellaneous,-9,-9,0,-9,"200003010004, 200003010005, 200003010006, 200003010007"
200003010005,2000,3,1,0,,United States,Pennsylvania,Wilkinsburg,1.0,0,"03/01/2000: In the second of four consecutive attacks in Wilkinsburg, Pennsylvania, United States, Ronald Taylor shot and killed Joseph Healy at a Burger King at 11:20 a.m. Taylor, an anti-white extremist, proceeded to carry out a series of attacks targeting white people at nearby locations before surrendering to police. Taylor had a history of anti-white, anti-Semitic, and anti-LGBT beliefs, and reportedly suffered from mental illness. He confessed to the crimes, his insanity defense was not successsful, and he was sentenced to death in January 2002.",1,1,1,0,,,1.0,1,0,2,Armed Assault,,,,,1,Business,2.0,Restaurant/Bar/Café,Burger King,"Joseph Healy, 71",United States,,,,,,,,,,,Anti-White extremists,,,,"The specific motive is unclear, but Taylor targeted white people and reportedly told black people he encountered that he did not intend to hurt them.",0.0,,1,1.0,1.0,0,,,,,,,Firearms,Handgun,,,,,A .22-caliber revolver legally purchased by Taylor's grandfather at a Pittsburgh gun shop in 1982.,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,"Michael A. Fuoco, ""Residents remember the deadly rampage,"" Pittsburgh Post-Gazette, February 25, 2001.","Todd Spangler, ""Pa. gunman kills 2, surrenders,"" Associated Press Online, March 2, 2000.","Todd Spangler, ""Western PA man charged with hate crime in shooting rampage. Police said they found racist writings by Ronald Taylor, who is also charged with homicide. Three white men died,"" The Philadelphia Inquirer (Associated Press), March 4, 2000.",UMD Miscellaneous,-9,-9,0,-9,"200003010004, 200003010005, 200003010006, 200003010007"
200003010006,2000,3,1,0,,United States,Pennsylvania,Wilkinsburg,1.0,0,"03/01/2000: In the third of four consecutive attacks in Wilkinsburg, Pennsylvania, United States, Ronald Taylor shot three people at a McDonald's. Taylor, an anti-white extremist, killed Emil Sanielevici and injured Richard Clinger and Steven Bostard before continuing his series of attacks targeting white people at nearby locations and then surrendering to police. Taylor had a history of anti-white, anti-Semitic, and anti-LGBT beliefs, and reportedly suffered from mental illness. He confessed to the crimes, his insanity defense was not successsful, and he was sentenced to death in January 2002.",1,1,1,0,,,1.0,1,0,2,Armed Assault,,,,,1,Business,2.0,Restaurant/Bar/Café,McDonald's,Employee and patrons,United States,,,,,,,,,,,Anti-White extremists,,,,"The specific motive is unclear, but Taylor targeted white people and reportedly told black people he encountered that he did not intend to hurt them.",0.0,,1,1.0,1.0,0,,,,,,,Firearms,Handgun,,,,,A .22-caliber revolver legally purchased by Taylor's grandfather at a Pittsburgh gun shop in 1982.,1.0,1.0,0.0,2.0,2.0,0.0,0,0.0,,,,,,,,,,"Michael A. Fuoco, ""Residents remember the deadly rampage,"" Pittsburgh Post-Gazette, February 25, 2001.","Todd Spangler, ""Pa. gunman kills 2, surrenders,"" Associated Press Online, March 2, 2000.","Todd Spangler, ""Western PA man charged with hate crime in shooting rampage. Police said they found racist writings by Ronald Taylor, who is also charged with homicide. Three white men died,"" The Philadelphia Inquirer (Associated Press), March 4, 2000.",UMD Miscellaneous,-9,-9,0,-9,"200003010004, 200003010005, 200003010006, 200003010007"
200003010007,2000,3,1,0,,United States,Pennsylvania,Wilkinsburg,1.0,0,"03/01/2000: In the last of four consecutive attacks in Wilkinsburg, Pennsylvania, United States, Ronald Taylor, an anti-white extremist, fired two rounds at police officers but missed, before entering the Penn West office building where he threatened personnel at the Metro Family Practice around 11:40 a.m. and held several people hostage. He was cornered by police and ultimately surrendered, concluding his series of attacks targeting white people. Taylor had a history of anti-white, anti-Semitic, and anti-LGBT beliefs, and reportedly suffered from mental illness. He confessed to the crimes, his insanity defense was not successsful, and he was sentenced to death in January 2002.",1,1,1,0,,,1.0,1,0,5,Hostage Taking (Barricade Incident),,,,,1,Business,6.0,Medical/Pharmaceutical,Metro Family Practice,Penn West Building,United States,,,,,,,,,,,Anti-White extremists,,,,"The specific motive is unclear, but Taylor targeted white people and reportedly told black people he encountered that he did not intend to hurt them.",0.0,,1,1.0,1.0,0,,,,,,,Firearms,Handgun,,,,,A .22-caliber revolver legally purchased by Taylor's grandfather at a Pittsburgh gun shop in 1982.,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,4.0,4.0,2.0,,0.0,2.0,Hostage(s) released by perpetrators,4.0,,"Michael A. Fuoco, ""Residents remember the deadly rampage,"" Pittsburgh Post-Gazette, February 25, 2001.","Todd Spangler, ""Pa. gunman kills 2, surrenders,"" Associated Press Online, March 2, 2000.","Todd Spangler, ""Western PA man charged with hate crime in shooting rampage. Police said they found racist writings by Ronald Taylor, who is also charged with homicide. Three white men died,"" The Philadelphia Inquirer (Associated Press), March 4, 2000.",UMD Miscellaneous,-9,-9,0,-9,"200003010004, 200003010005, 200003010006, 200003010007"
200003120004,2000,3,12,0,,United States,Wisconsin,Viroqua,1.0,0,"03/12/2000: The Animal Liberation Front (ALF) claimed responsibility for setting fire to the Kickapoo Fur Foods business in Viroqua, Wisconsin U.S.A. The fire was started when the perpetrators placed a number of timed incendiary devices inside the premises. Authorities report that damage was minimal, as the fire smoldered itself out by the morning. The Kickapoo Fur Foods company produces food for mink ranches. ALF stated that the company is ""an integral part of the abusive and exploitative"" fur industry. The ALF spokesman went on to state that any business that supports animal exploitation is a ""fair target for action against them.""",1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,5.0,Industrial/Textiles/Factory,Kickapoo Fur Foods,"The Kickapoo Fur Foods facility in Viroqua, Wisconsin",United States,,,,,,,,,,,Animal Liberation Front (ALF),,,,Unknown,0.0,,0,,0.0,1,10.0,Unknown,,,,-9.0,Incendiary,Arson/Fire,,,,,Multiple timed incendiary devices were used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,,,,,,,,,"Doug Cunningham, ""Animal Liberation Front attempts to burn down a mink feed business,"" Wisconsin Public Radio, March 13, 2000.","“Animal Liberation Front Attacks Mink Business,” Wisconsin State Journal, March 14, 2000.",,CETIS,0,1,0,1,
200003220005,2000,3,22,0,,United States,Utah,Ogden,1.0,0,"03/22/2000: Three employees at an Internal Revenue Service processing center in Ogden, Utah, U.S.A. were injured when they handled letters contaminated with an unknown chemical agent.",1,1,1,1,2.0,Other Crime Type,0.0,1,0,8,Unarmed Assault,,,,,2,Government (General),18.0,"Government Personnel (excluding police, military)",Internal Revenue Service (IRS),"Employees at a Internal Revenue Service processing center in Ogden, Utah",United States,,,,,,,,,,,Unknown,,,,Unknown,0.0,,0,,0.0,0,,,,,,,Chemical,Poisoning,,,,,,0.0,0.0,0.0,3.0,3.0,0.0,0,0.0,,,,,,,,,,"Matthew Ott, “IRS Receiving Room Quarantined After Substance Discovered in Envelope,” The Associated Press, March 23, 2000.","“3 at IRS Get Rash From Toxic Mailing,” The Deseret News, March 23, 2000.","“Mysterious Powder Found in IRS Return,” The Associated Press State and Local Wire, March 23, 2000.",CETIS,-9,-9,0,-9,
200003250005,2000,3,25,0,,United States,Arizona,Chandler,1.0,0,"03/25/2000: Unknown perpetrator(s) sent a packaged bomb to the residence of Richard Simer, an employee of Revlon Inc., who was on the verge of retiring at the time. The bomb was disguised in a package, addressed to him, and placed in his driveway. Upon opening it in his kitchen, the bomb exploded, causing Simer to suffer the loss of a finger and leg and chest injuries. The blast also resulted in holes through ceilings and walls and shattered a door.",1,1,1,1,2.0,Other Crime Type,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,77.0,Laborer (General)/Occupation Identified,"Richard Simer, employee of Revlon Inc., targeted at his home","Richard Simer, employee of Revlon Inc., targeted at his residence",United States,,,,,,,,,,,Unknown,,,,Unknown,0.0,,0,-99.0,-99.0,0,,,,,,,Explosives,Unknown Explosive Type,,,,,package bomb,0.0,0.0,0.0,1.0,1.0,0.0,1,0.0,,,,,0.0,,,,The incident occurred at about 6:15 a.m.,"""Man hurt after package bomb explodes in home,"" Associated Press State & Local Wire, March 26, 2000.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America,"" Praeger Security International, 2005.",,Eco Project 2010,-9,-9,0,-9,
200004030006,2000,4,3,0,,United States,Missouri,Kansas City,1.0,0,"04/03/2000: A letter mailed to the IRS office in Kansas City, Missouri, U.S.A. contained an unknown chemical agent that injured 3 people.",1,1,1,1,2.0,Other Crime Type,0.0,1,0,8,Unarmed Assault,,,,,2,Government (General),21.0,Government Building/Facility/Office,Internal Revenue Service (IRS),"An IRS office in Kansas City, Missouri",United States,,,,,,,,,,,Unknown,,,,Unknown,0.0,,0,,0.0,0,,,,,,,Chemical,Poisoning,,,,,,0.0,0.0,0.0,3.0,3.0,0.0,0,0.0,,,,,,,,,,"“Metropolitan Digest,” The Kansas City Star, April 6, 2000.","“Across the USA News from Every State,” USA Today, April 5, 2000.",,CETIS,-9,-9,0,-9,
